"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"," "
"Sólo AIF","226175","223542","214168","217640","251709","250009","250482","286183","254859","271231","423255.57285286","482532.68656346","474712.15025616","537330.21523862","592719.15104079","577707","598997","683401","710450.71801985","664891.3","354727.9354","425094.064",""
"Isla de Man","","","","","","","","","","","","","","","","","","","","","","",""
"India","198426","206690","231413","263870","302790","330484","453921","569033","592292","601977","623196.77855865","695626","678125.93779306","689094","724541.12","787998","917625","1029426","1200111.363","1209803","583142","739481",""
"No clasificado","","","","","","","","","","","","","","","","","","","","","","",""
"Irlanda","145457","156277","177032","231296","261345","303697","350204","416205","483741","528098","601262","635065","648817.65151064","641412","658512","718059","836293","883323","935913","967456","369019","493773",""
"Irán, República Islámica del","82610","141396","92621","138537","109706","121235","136075","137645","122226","133932","158014.18345095","161191.67760432","153142.82222371","161029","162563.37417583","133663","159754","225399.088","207096","186006","132936.795","157785.876",""
"Iraq","","","","","","","","","","","7692","9697","8993","4332","4332","12805","10579","18509.38","48355","60540","9809","20505",""
"Islandia","12589","11728","9989","9750","10832","11803","12785","14064","12431","12924","21668.31647358","24488","26469","26643","28979","35558","41022","50389","54653.302591099","35823","13594","24518",""
"Israel","56427","47648","49404","46334","34152","34104","36257","47038","45309","47856","47829","47195","47073.827458256","46644","49177","49020","50548","50330","53901","49276","12221","23090",""
"Italia","367584","393484","350552","385911","382317","445968","447749","431647","382590","382897","335280","328771.58001328","306320.50332005","258027","264899","273462","277671","243811","251621","260599","99250","37123",""
"Jamaica","16577","24440","23343","23976","23338","21787","21133","22401","22894","16840","0","0","0","492","953","997","1128","1181","1215.272","","","",""
"Jordania","16447","15893","16369","15354","17958","19689","26546","29415","30804","32490","39318.791597625","40329.197802198","39468","38998","38386","36622","38161","36946","36127","36550","10108","19200",""
"Japón","645087","640328","647953","639866","638430","651858","670252","656917","655495","641913","934487.43946256","812928","874677","915542.658","927666","956015","984320","1035522","999594","1018436","659764","657016",""
"Kazajstán","8041","8398","15426","19560","11754","17302","19160","19138","19229","18832","33483","40916","44580","66108","71220","72486","73188","83048","66693","89436","55358","72454",""
"Kenya","29080","24741","25873","27057","26218","28399","29039","32329","32045","33593","78265","84955","82576","98244","90625","96749","99428","117027","134354.48462213","138192","33178","50778",""
"Kirguistán","6051","4942","3951","4810","5550","5228","4730","4916","3567","5459","7371","9274","7719","12189","17388","20962","23120","27055","8751","6466","1578","1497.601",""
"Camboya","","","4648","4512","3893","3207","3998","4324","3667","3304","5104.7222222222","7191","7432","11897.043238617","14732","12983","11933","14372","14387","14850","5639.574","390.662",""
"Kiribati","","","","","","","","","","","","","","","","","","5005","5005","4388","3751.74","3312.786",""
"Saint Kitts y Nevis","","","","","","","","","","","","","","","","","","","","","","",""
"Corea, República de","226910","228442","238649","240942","232077","221424","223735","243113","250260","256160","280427","282239","285000","360356","368132","448037","473606","499093.92","527807","549454","254341","287163",""
"Kuwait","17486","16682","18929","17833","19512","19142","20673","17685","17999","18191","41848","31753","28814","27305","26610","30073","33387","42782","46450","50959","17004","20436",""
