"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Iraq","","","","","","","","","","","641129","761778.17435545","784944.25303469","476484","476484","2142554","2019816","1591490.01","4812610","5434292","764661","1620013"
"Islandia","1431818","1357946","1198920","1133775","1332811","1528929","1536157","1720496","1423422","1364651","1851416.8417551","2150527","2400160","2602714","3035882.7791066","4134980","5710834","7242611","7819740.5599824","4656017","903927","1499034"
"Israel","4442967","3967140","3708138","3677879","4968931","4392448","4357151","4662615","4563041","4605452","5084798","5151469","5381980","5565864","5886728","6331198","6866472","6993888","7404373","7068458","1249361","2437207"
"Italia","30418137","31031074","28244627","36345771","35922093","36115764","36709131","37830745","30672048","33194501","32645164","33923370.505106","31072962.155732","27846220","27193939","28603919","29120041","26288001","27243741","27760301","7801490","2449339"
"Jamaica","1922123","1946123","2016000","1838047","2007765","1573785","1526571","1618165","1644056","1380000","0","0","0","46272","76244","92836","136744","151326","180951.272","","",""
"Jordania","1281997","1178058","1299699","1353444","1660235","1737165","2046457","2246212","2355285","2323750","3077036.6960894","3267109.7362049","3438356","3294911","3211795","3065145","3181283","3381677","3383805","3478444","816253","1695302"
"Japón","109123312","107823469","109037841","103988547","101740600","102279015","102845319","99842338","97022471","86896527","109617020.96575","89788818","98907859","107573000","110547000","114128000","117708000","123898000","126387527","130233352","51131122","45410146"
"Kazajstán","461283","500981","756959","1009731","834760","1160286","1283250","1295050","1275624","1192714","3098327","3786453.0639105","4064819.0227233","4785588","4918608","5081632","5007869","6903190","5920110","7656866","5282205","8765001"
"Kenya","1554949","1418183","1599843","1678160","2005473","2424382","2685148","2857464","2880546","2948920","4039583","4508698.0116155","4653459.7351436","4516500","4448530.528178","4569473","4848016","5109576","5905365.1234425","6417534.056","1865768","2459106"
"Kirguistán","240954","192060","174369","205604","245570","225923","219464","274981","204525","309488","375602","526018.01247642","494640.42682199","771165","712284","967629","1015750","1122951","1175000.704","867935","191774","171347.337"
"Camboya","","","124847","164515","162132","168810","256160","307782","211281","183503","277725.05429723","499981.51796255","508688.50938602","615123.32800372","1071179","1103880","1047394","1305297","1411059","1429503.7304639","609564.382","50217.459"
"Kiribati","","","","","","","","","","","","","","","","","","66567","66567","65846.852","56299.058","46390.423"
"Saint Kitts y Nevis","","","","","","","","","","","","","","","","","","","","","",""
"Corea, República de","34331368","33710340","34831814","33372577","34511494","33888328","34842655","36655313","36077655","34168590","36987982","39911749.589812","39969577.015717","54530105","58289180","66093149","76859538","82818983","88157579","92434079","30033310","34020088"
"Kuwait","2112523","2084574","2299218","2185990","2496441","2433213","2627870","2659769","2523966","2597076","4563082","3722729.502639","3481039","3244805","3530851","3752995","4069935","5731748","6464847","7385299","1823594","2182888"
"América Latina y el Caribe (excluido altos ingresos)","80663834","80705199","80916912","79669134","85640345","91319432","93787469","101368252","113509159","117582038","152559808.38592","167674704.81728","183917537.24421","197300515.47234","209830189.40081","225374213","226438094","237473414.35","253791824.76708","264853828.556","107737783.66","167162390.562"
"República Democrática Popular Lao","210847","210847","219598","218652","271706","293442","326730","328326","323401","302596","443778","532707","877949.88137226","1476528","1310124","1181188","1220201","1196041","1009414","979307","386950","157293"
"Líbano","805803","815862","874152","935213","1086730","1076258","968820","1074219","1067774","1308382","1893359","2029610","2148669","2241480","2419476","2591297","2647258","2879528","2981937","3164358","1077762","1603134"
"Liberia","","","","","","","","","","","","","","","","","","","","","",""
