"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Bermudas","8.3483242061619","6.0713691378448","-2.1167316810455","2.7362712744663","1.6550713352859","1.0180798970143","4.9402725194239","2.7638153345666","-2.4447802561598","-6.1486294054866","-1.7363632364089","-2.9078508290505","-5.6472627477453","-0.59113789520654","-3.9036061078689","0.62259842682104","0.39386919987983","4.7161022053394","-0.50289929998705","0.31725301094777","-6.8166253225697","5.6323666432943"
"Bolivia","0.67536112504322","-0.099986842878835","0.70659042566714","0.93327288101312","2.3772083784331","2.6274119485262","2.9819677146675","2.7501866802633","4.3281711363","1.6014564553966","2.3753355759725","3.4536737732666","3.3971964398802","5.0697954244662","3.7831870593498","3.220538823418","2.6630742135254","2.6233033356186","2.684797339191","0.73769715524476","-9.9524048445553","4.8524748892549"
"Brasil","2.9709107810717","0.059648943668407","1.7602427785658","-0.051285666497421","4.5617819574884","2.0555715014644","2.8479620076531","4.980829920005","4.0617221662156","-1.0732383326648","6.5228161792293","3.0133962726197","1.007654032827","2.114256451943","-0.35451480226443","-4.3583171793934","-4.0574230024057","0.52329658857421","0.9789384926974","0.44828040714866","-3.9180041715404","4.2103002535316"
"Barbados","4.2549945127737","-2.6303585642141","0.37964484703434","1.7767084301825","1.0316427008267","3.5804916331814","5.6987054697536","1.69597892468","0.19384599843504","-5.418311891981","-2.545180783426","-1.0515442382717","-0.50589405927603","-1.5516470666635","-0.2844680029966","2.206615770504","2.3443699936477","0.32105880202083","-0.92414374051395","0.20362523472373","-12.699510624482","-1.3613625505986"
"Brunei Darussalam","0.73006945099547","0.68703697130275","1.8646857286271","0.99088274581464","-1.2846012307221","-1.3250510999312","2.6920521206137","-1.4161676468993","-3.4237457085747","-3.2099630911162","1.1114798258206","2.3363151965061","-0.35975494439167","-3.330844834723","-3.6675189324306","-1.5223842318841","-3.5211439819828","0.32020543877323","-0.86886005686672","2.9742261522544","0.29171891700163","-2.396821562881"
"Bhután","0.50069302886232","4.4768245437484","7.6224184689004","5.1405860870309","2.6716288391362","4.7858042576242","4.0815968136806","14.681779774575","3.2984103225213","6.4420165285707","10.688355641934","7.1210678747337","3.9567255726463","0.57839663873315","4.6456940695835","5.5767150682372","7.4626623573833","2.6369288037074","2.6903944524499","5.0161320158543","-10.804966001835","3.7525213785902"
"Botswana","-0.10445789094487","-1.7377322297118","4.1078298157805","2.8085206399368","0.92570568827806","2.6938782370513","6.347004906711","3.7340678095606","1.1769188323963","-15.89055768753","7.8758711323137","4.7171658630537","-2.0701741261028","9.00566388933","3.6795226120321","-6.7003023417431","5.0513731527322","1.9719443891535","2.0813461242525","1.0416716395979","-10.402630907344","10.103693502394"
"República Centroafricana","-5.1822002636044","2.1388552733554","1.3527753620429","-7.6573459144172","3.7205910468886","-1.3381825936235","2.6846673436516","2.6658650606536","-0.039937079778781","6.2723939666325","2.4859848510043","2.6102348027132","4.1451583943365","-36.777697163935","0.15811155875245","3.891158828358","2.9380992393553","2.5909235013508","1.7922203053133","0.8330098108699","-1.6247755794237","-1.1290938099897"
"Canadá","4.1639485002857","0.7745194324016","1.8879648458803","0.89501859271479","2.1358155936461","2.2375765823736","1.602901526748","1.0641448518324","-0.093342783733561","-4.0200881211474","1.9514474759255","2.1360771396746","0.65884199036913","1.2535901290465","1.8484095174269","-0.11236917294916","-0.098296352515987","1.8094644627928","1.2809265790424","0.42965758108582","-6.0624064295902","4.7053820518735"
"Europa Central y del Báltico","4.5445949957323","3.8349218723134","4.2931335396054","4.4147037931834","6.1310559747463","5.3060313538496","6.8662856924896","6.8306364330517","4.3086534306662","-3.3211053576157","1.8044604489629","3.7600508093437","1.0573304302367","0.8828003012777","3.4327103328016","4.2663884475368","3.0161837061532","5.3613160490555","5.1527620657268","4.0504990108732","-3.2110280733945","7.2383327698804"
"Suiza","3.376157294979","0.93494965314542","-0.82628042816746","-0.77133316907219","1.9981320556157","2.0935866074303","3.4225506597861","2.9918220230828","1.5099507937972","-3.510558860202","2.1736381639679","0.68733986963795","0.11059660430612","0.62836067543701","1.1086935944005","0.49412982239276","0.96013167317825","0.42132616305648","2.1055247201242","0.42308976822731","-2.8541583222644","4.5881921178937"
"Islas del Canal","","","","","","","","","","","","","","","","","","1.6468680290693","0.81913677573891","1.061069535874","-9.3785724140408","14.405515144706"
"Chile","3.772356977465","2.009936512276","2.0861107091106","3.6315664670146","5.616340074527","4.8075180630184","5.0159911235482","4.1420023207573","2.7558009595964","-2.1283005713077","4.7889426872301","5.1760369980308","5.1257383798839","2.3164001177073","0.77292782032777","1.1057583809381","0.55029785144438","-0.21326644224499","2.1390781809854","-1.1523372236425","-7.4118788296849","10.232399264885"
"China","7.6385976762557","7.5516548315811","8.4048799748804","9.3547766438394","9.4615587700818","10.741375126566","12.093304694131","13.635820500755","9.0902801013736","8.8559476757714","10.102832622525","8.9538160417455","7.1345237774397","7.050734134008","6.7507603158101","6.4207364773118","6.2382154476778","6.3018631005663","6.2517005557175","5.5753168629432","1.9955580419211","8.3517199539417"
"Côte d'Ivoire","-2.959710897695","-4.6833463157315","-5.1420853072004","-7.0006613297489","0.80110362130226","-1.2682650522478","0.56862425688257","-1.059815634467","2.5738680053685","1.4322613678918","4.6105180869534","-7.3140054849593","5.4309230670438","8.4998030326499","6.8688613256716","4.4638899616383","4.4423610589952","4.668461261105","2.1866084962458","4.0538507354069","-1.7950204339836","4.466609083732"
"Camerún","1.1311267506418","1.6196788539419","1.7145691115616","2.6141320503119","4.1507294376534","-0.52795420357286","1.0249935892583","1.4665444946196","-0.02908145067741","-0.29962204876853","0.0065827892668011","0.49334667861831","1.7218416531546","2.0826098393218","2.558902686308","2.392797413452","1.4542326740103","0.64821263371641","1.1217952144297","0.64322320371065","-2.4224344182237","0.65061604452706"
"Congo, República Democrática del","-9.5706943242541","-5.0120421630369","-0.15173106453533","2.5148659952983","3.6034024203934","2.8795282649238","2.0171483514662","2.8970142528968","2.880741557867","-0.37846219954547","3.6861601156027","3.3518213098954","3.5520187670967","4.8459794831066","5.7621815543975","3.3530843473904","-1.0889960238775","0.21664309460785","2.4138399749453","1.1109662739282","-1.4926894273681","2.8323793247288"
"Congo, República del","3.5472058158975","-0.027544188103562","2.1626617373476","-1.9389961161344","0.019857937645142","3.9468234595628","4.0079919073685","-9.9895379048449","2.8420364815555","7.2415819213145","5.4562672504797","-1.0565788685004","6.9369861627842","-3.073443210459","4.1271417814055","-1.9547143570292","-10.840781426122","-7.8253098636542","-4.6155547627168","-1.2294164026085","-8.4284025212107","-1.2980340617502"
"Colombia","1.2710826265022","0.088483852605606","0.94269327374433","2.3904480417191","3.8393781661119","3.4068956475868","5.3397234442287","5.4228476187929","2.0842423630241","0.0016622794089614","3.323734505712","5.7846997656199","2.8378890262192","4.0982659086589","3.5139534791282","1.9906164936335","1.0022727252119","-0.16195387491844","0.63843961599311","1.3149523784246","-8.5403953772543","9.5410515599769"
"Comoras","8.7176898384017","0.28098416982367","0.25555565690898","0.1190309687763","-0.013669963839348","0.83712928289519","0.61407524972341","-1.2001121631991","1.8883579482883","1.1481044403955","1.6372704236335","1.960299484566","0.98583976607993","2.2496407571649","-0.067894785645152","-1.014068957564","1.1029320734164","1.7123618329055","1.6867215975428","-0.12690921222533","-2.0748613963872","0.1909390044019"
"Cabo Verde","12.13409839632","0.5407309822628","3.6333096259659","2.6881169470656","8.7263681709984","5.5579027329859","6.6727090506252","13.83605490229","5.8638255743039","-2.5163669750992","0.74734944248411","2.6818083629537","-0.11735698267269","-0.50028699146436","-0.43481439643267","-0.17722639337042","3.1176287405623","3.3373104397547","2.5725828731526","5.8676538350649","-21.56780921544","6.0713798177709"
